#{"t_start": 1776950359.511148, "env_id": "HalfCheetah-v5"}
r,l,t
2065.711091,1000,113.924002
2012.626859,1000,114.031076
2147.221521,1000,114.364861
1884.850373,1000,114.473045
2191.131986,1000,114.808478
2327.293504,1000,114.915512
2289.63454,1000,115.25103
2257.000984,1000,115.357519
2322.090245,1000,115.692154
1932.667845,1000,115.798865
2124.52349,1000,116.136826
2365.388537,1000,116.24308
2217.523576,1000,116.579609
2091.742118,1000,116.689688
2088.283261,1000,117.083508
2206.673824,1000,117.199009
1771.050224,1000,117.543348
2294.320163,1000,117.654118
2125.532287,1000,118.005318
2416.980696,1000,118.119236
2454.303315,1000,118.472703
2309.782895,1000,118.58513
2151.406591,1000,118.931243
2181.640956,1000,119.039904
2284.415423,1000,119.382626
2401.647771,1000,119.490442
2378.689417,1000,119.828395
2391.153856,1000,119.936287
2415.998752,1000,120.276476
2231.9842,1000,120.384875
2312.156372,1000,120.722657
2297.956804,1000,120.830429
2167.814367,1000,121.167819
2322.844657,1000,121.274989
2225.70432,1000,121.610863
2224.098879,1000,121.71975
2521.784603,1000,121.827389
2472.313188,1000,122.165723
2406.7168,1000,122.272685
2231.308521,1000,122.610458
2532.146618,1000,122.717257
2607.847542,1000,123.054645
2222.175966,1000,123.163177
2556.705499,1000,123.499924
2361.498973,1000,123.607659
2505.975135,1000,123.944952
2033.449586,1000,124.053138
2513.134286,1000,124.413002
2436.469176,1000,124.519677
2584.006005,1000,124.855802
2151.569598,1000,124.962684
2412.230812,1000,125.298614
2377.24085,1000,125.405859
2102.769714,1000,125.742799
2587.884125,1000,125.850041
2651.488771,1000,126.185393
2177.119331,1000,126.293218
2486.882995,1000,126.628882
2530.082036,1000,126.737593
2672.222569,1000,127.073944
2548.58546,1000,127.180628
2522.404881,1000,127.522288
2716.17527,1000,127.629165
2310.303061,1000,127.967263
2596.513323,1000,128.075712
2538.59136,1000,128.413748
2482.8234,1000,128.521436
2239.502831,1000,128.861104
2527.115318,1000,128.969462
2575.944393,1000,129.312211
2220.575868,1000,129.42285
2254.642978,1000,129.76567
2630.30139,1000,129.874338
2472.168186,1000,130.216703
2524.655318,1000,130.326372
2889.17967,1000,130.664529
2345.895198,1000,130.77261
2629.406448,1000,131.155389
